,index,variable,value,iter
14,co2,Factor 2,0.08801284711863842,4
15,co,Factor 2,5.0885411264049005e-05,4
16,no2,Factor 2,0.7544558922621759,4
17,o3,Factor 2,0.2659914178325439,4
18,pm1,Factor 2,0.2211364964281845,4
19,pm25,Factor 2,0.23320349018375408,4
20,pm10,Factor 2,0.2666034700759108,4
21,co2,Residual,-1.3616204414867994e-05,4
22,co,Residual,4.4382460384628786e-07,4
23,no2,Residual,-0.0007611888790002297,4
24,o3,Residual,0.09569756632735438,4
25,pm1,Residual,0.05673280628320887,4
26,pm25,Residual,0.06988198420772995,4
27,pm10,Residual,0.07363198460543907,4
0,co2,Factor 0,0.018935433482788745,5
1,co,Factor 0,0.9997653759826527,5
2,no2,Factor 0,0.020868529708494114,5
3,o3,Factor 0,0.05251195111331349,5
4,pm1,Factor 0,0.025761649169689704,5
5,pm25,Factor 0,0.02318646584484975,5
6,pm10,Factor 0,0.022425097844396086,5
7,co2,Factor 1,0.9065110518310393,5
8,co,Factor 1,0.00019576517544901955,5
9,no2,Factor 1,0.23054416831025862,5
10,o3,Factor 1,0.5953592842327885,5
11,pm1,Factor 1,0.7110210489059829,5
12,pm25,Factor 1,0.6966374969209738,5
13,pm10,Factor 1,0.6816392346536128,5
14,co2,Factor 2,0.07456722665493813,5
15,co,Factor 2,3.843032106469452e-05,5
16,no2,Factor 2,0.7493871117508087,5
17,o3,Factor 2,0.2568785178770749,5
18,pm1,Factor 2,0.21022935008640933,5
19,pm25,Factor 2,0.21971770150305953,5
20,pm10,Factor 2,0.23793886694436833,5
21,co2,Residual,-1.3711968766205729e-05,5
22,co,Residual,4.285208335952362e-07,5
23,no2,Residual,-0.0007998097695613993,5
24,o3,Residual,0.09525024677682303,5
25,pm1,Residual,0.052987951837918046,5
26,pm25,Residual,0.06045833573111703,5
27,pm10,Residual,0.057996800557622796,5
0,co2,Factor 0,0.021358811063835956,6
1,co,Factor 0,0.9997944855125235,6
2,no2,Factor 0,0.022175235716411706,6
3,o3,Factor 0,0.0549231017266872,6
4,pm1,Factor 0,0.02453079319729854,6
5,pm25,Factor 0,0.02197809629177494,6
6,pm10,Factor 0,0.021258619125306646,6
7,co2,Factor 1,0.917873054402754,6
8,co,Factor 1,0.00017741363044053427,6
9,no2,Factor 1,0.2234614394502307,6
10,o3,Factor 1,0.6110707253724385,6
11,pm1,Factor 1,0.7262758888520965,6
12,pm25,Factor 1,0.7154637184861802,6
13,pm10,Factor 1,0.7028507835003894,6
14,co2,Factor 2,0.06078105524648162,6
15,co,Factor 2,2.7724668805210822e-05,6
16,no2,Factor 2,0.7551641984030462,6
17,o3,Factor 2,0.2434269730984383,6
18,pm1,Factor 2,0.1943218910561543,6
19,pm25,Factor 2,0.20136369788208175,6
20,pm10,Factor 2,0.21812869028764212,6
21,co2,Residual,-1.292071307168463e-05,6
22,co,Residual,3.7618823078844343e-07,6
23,no2,Residual,-0.0008008735696884983,6
24,o3,Residual,0.090579199802436,6
25,pm1,Residual,0.05487142689445068,6
26,pm25,Residual,0.06119448733996313,6
27,pm10,Residual,0.057761907086661735,6
0,co2,Factor 0,0.015942516833112767,7
1,co,Factor 0,0.9996202679309615,7
2,no2,Factor 0,0.022039978676880546,7
3,o3,Factor 0,0.052094588566525296,7
4,pm1,Factor 0,0.020673486283254015,7
5,pm25,Factor 0,0.015413277826478035,7
6,pm10,Factor 0,0.019742213302670116,7
7,co2,Factor 1,0.8736761832238523,7
8,co,Factor 1,0.00029165185600363964,7
9,no2,Factor 1,0.21667474123566796,7
10,o3,Factor 1,0.5932179254935447,7
11,pm1,Factor 1,0.6653417717817316,7
12,pm25,Factor 1,0.6539208619140259,7
13,pm10,Factor 1,0.6569586406760509,7
14,co2,Factor 2,0.11039473846279797,7
15,co,Factor 2,8.761177664662293e-05,7
16,no2,Factor 2,0.7619306624191904,7
17,o3,Factor 2,0.2616611397001719,7
18,pm1,Factor 2,0.2601284235434392,7
19,pm25,Factor 2,0.2685799044058485,7
20,pm10,Factor 2,0.26803220519659016,7
21,co2,Residual,-1.3438519762987156e-05,7
22,co,Residual,4.684363882345721e-07,7
23,no2,Residual,-0.0006453823317389418,7
24,o3,Residual,0.09302634623975814,7
25,pm1,Residual,0.05385631839157523,7
26,pm25,Residual,0.06208595585364751,7
27,pm10,Residual,0.05526694082468886,7
0,co2,Factor 0,0.01907048851862409,8
1,co,Factor 0,0.9997199698962287,8
2,no2,Factor 0,0.023477605184922253,8
3,o3,Factor 0,0.05453911528203952,8
4,pm1,Factor 0,0.024849819341254013,8
5,pm25,Factor 0,0.022057121698422236,8
6,pm10,Factor 0,0.02160427275687362,8
7,co2,Factor 1,0.8964358228239335,8
8,co,Factor 1,0.0002278571825657981,8
9,no2,Factor 1,0.22163671880265964,8
10,o3,Factor 1,0.5978258426023714,8
11,pm1,Factor 1,0.7018456410172706,8
12,pm25,Factor 1,0.698516870242333,8
13,pm10,Factor 1,0.6886323940887904,8
14,co2,Factor 2,0.08450719002995209,8
15,co,Factor 2,5.1747549569427744e-05,8
16,no2,Factor 2,0.7556054763285123,8
17,o3,Factor 2,0.2550830649137494,8
18,pm1,Factor 2,0.21859986694747874,8
19,pm25,Factor 2,0.21612672153433748,8
20,pm10,Factor 2,0.2291741763148539,8
21,co2,Residual,-1.3501372509772125e-05,8
22,co,Residual,4.253716361368731e-07,8
23,no2,Residual,-0.000719800316094199,8
24,o3,Residual,0.09255197720183972,8
25,pm1,Residual,0.05470467269399659,8
26,pm25,Residual,0.06329928652490735,8
27,pm10,Residual,0.06058915683948207,8
0,co2,Factor 0,0.018380196716837525,9
1,co,Factor 0,0.9997209542417366,9
2,no2,Factor 0,0.02363361255246841,9
3,o3,Factor 0,0.048917742328290464,9
4,pm1,Factor 0,0.024248461524343932,9
5,pm25,Factor 0,0.020913209110019787,9
6,pm10,Factor 0,0.021187501107464826,9
7,co2,Factor 1,0.8945950692428973,9
8,co,Factor 1,0.00022856679957264237,9
9,no2,Factor 1,0.2329168441994504,9
10,o3,Factor 1,0.599744379237645,9
11,pm1,Factor 1,0.710216074921973,9
12,pm25,Factor 1,0.6958241868326008,9
13,pm10,Factor 1,0.6664687182430349,9
14,co2,Factor 2,0.08703840418429384,9
15,co,Factor 2,5.0036930561930694e-05,9
16,no2,Factor 2,0.7441674288203581,9
17,o3,Factor 2,0.25908254527094166,9
18,pm1,Factor 2,0.21035256628997084,9
19,pm25,Factor 2,0.21875016597401684,9
20,pm10,Factor 2,0.2478238805564174,9
21,co2,Residual,-1.367014402875455e-05,9
22,co,Residual,4.42028128877503e-07,9
23,no2,Residual,-0.0007178855722769217,9
24,o3,Residual,0.09225533316312284,9
25,pm1,Residual,0.05518289726371228,9
26,pm25,Residual,0.06451243808336249,9
27,pm10,Residual,0.06451990009308295,9
0,co2,Factor 0,0.020461211241590574,10
1,co,Factor 0,0.9996654047605126,10
2,no2,Factor 0,0.02430910968186535,10
3,o3,Factor 0,0.06540067468594538,10
4,pm1,Factor 0,0.029386664469239824,10
5,pm25,Factor 0,0.026180853118180285,10
6,pm10,Factor 0,0.026069144948358658,10
7,co2,Factor 1,0.8805413654998562,10
8,co,Factor 1,0.0002662338068965897,10
9,no2,Factor 1,0.22426917744312133,10
10,o3,Factor 1,0.5806750819146232,10
11,pm1,Factor 1,0.6829392794463836,10
12,pm25,Factor 1,0.6618643030677683,10
13,pm10,Factor 1,0.6375183032541988,10
14,co2,Factor 2,0.09901058176561633,10
15,co,Factor 2,6.791367689256175e-05,10
16,no2,Factor 2,0.7520963666074107,10
17,o3,Factor 2,0.26386936886456797,10
18,pm1,Factor 2,0.23592945957786396,10
19,pm25,Factor 2,0.2536105821956692,10
20,pm10,Factor 2,0.2786697510883336,10
21,co2,Residual,-1.3158507063071312e-05,10
22,co,Residual,4.477556982962483e-07,10
23,no2,Residual,-0.00067465373239739,10
24,o3,Residual,0.0900548745348635,10
25,pm1,Residual,0.05174459650651264,10
26,pm25,Residual,0.05834426161838224,10
27,pm10,Residual,0.05774280070910898,10
0,co2,Factor 0,0.019375666303443596,11
1,co,Factor 0,0.9997683623852355,11
2,no2,Factor 0,0.02209051464807604,11
3,o3,Factor 0,0.054132992640657705,11
4,pm1,Factor 0,0.01979255619245788,11
5,pm25,Factor 0,0.016606783755365957,11
6,pm10,Factor 0,0.015493835293875255,11
7,co2,Factor 1,0.9051404991043525,11
8,co,Factor 1,0.000191628630361083,11
9,no2,Factor 1,0.23247318169902023,11
10,o3,Factor 1,0.6117543151872069,11
11,pm1,Factor 1,0.716061482495146,11
12,pm25,Factor 1,0.7007555806220391,11
13,pm10,Factor 1,0.6557207624884501,11
14,co2,Factor 2,0.07549741924858498,11
15,co,Factor 2,3.9595786375693806e-05,11
16,no2,Factor 2,0.7461979334307551,11
17,o3,Factor 2,0.2438675340046607,11
18,pm1,Factor 2,0.2087746074158016,11
19,pm25,Factor 2,0.21853138190506363,11
20,pm10,Factor 2,0.26403441709824693,11
21,co2,Residual,-1.3584656380905002e-05,11
22,co,Residual,4.131980277932712e-07,11
23,no2,Residual,-0.0007616297778514358,11
24,o3,Residual,0.09024515816747458,11
25,pm1,Residual,0.05537135389659453,11
26,pm25,Residual,0.06410625371753131,11
27,pm10,Residual,0.06475098511942767,11
0,co2,Factor 0,0.015320248010643323,12
1,co,Factor 0,0.9996085269806142,12
2,no2,Factor 0,0.020804084039220527,12
3,o3,Factor 0,0.04911523802236877,12
4,pm1,Factor 0,0.025612740778373735,12
5,pm25,Factor 0,0.02185167595358271,12
6,pm10,Factor 0,0.018023862197822073,12
7,co2,Factor 1,0.8746396056392478,12
8,co,Factor 1,0.0003030353356296326,12
9,no2,Factor 1,0.22014686098537897,12
10,o3,Factor 1,0.5992845705166725,12
11,pm1,Factor 1,0.7076635699195752,12
12,pm25,Factor 1,0.6957212347227124,12
13,pm10,Factor 1,0.6631044057617583,12
14,co2,Factor 2,0.11005431934112114,12
15,co,Factor 2,8.794861730786573e-05,12
16,no2,Factor 2,0.7597306625750047,12
17,o3,Factor 2,0.2559791413162011,12
18,pm1,Factor 2,0.208669950697725,12
19,pm25,Factor 2,0.21392968083120678,12
20,pm10,Factor 2,0.248369550032473,12
21,co2,Residual,-1.4172991012362246e-05,12
22,co,Residual,4.890664483392371e-07,12
23,no2,Residual,-0.0006816075996041171,12
24,o3,Residual,0.09562105014475764,12
